,Num Cells,AUPRC,AUROC,TN,FP,FN,TP
pbmc-1A-dm,3298,0.512,0.832,3066,112,42,78
pbmc-1B-dm,3790,0.425,0.786,3486,174,54,76
pbmc-1C-dm,5270,0.536,0.829,4684,270,107,209
pbmc-2ctrl-dm,13913,0.677,0.920,11455,860,293,1305
pbmc-2stim-dm,13916,0.663,0.914,11492,793,334,1297
pbmc-ch,15272,0.628,0.834,12008,719,1030,1515
pdx-MULTI,10296,0.417,0.735,7885,1094,619,698
cline-ch,7954,0.406,0.607,6294,195,1134,331
HEK-HMEC-MULTI,10641,0.499,0.780,9796,356,227,262
hm-12k,12820,0.816,0.984,11497,593,65,665
hm-6k,6806,0.942,0.998,6382,253,0,171
HMEC-orig-MULTI,26426,0.445,0.750,21632,1226,2080,1488
HMEC-rep-MULTI,10580,0.555,0.657,6919,379,2301,981
J293t-dm,500,0.124,0.483,446,12,37,5
mkidney-ch,21179,0.580,0.681,11667,1611,4889,3012
nuc-MULTI,5578,0.447,0.768,4540,563,222,253
